,,,,,,,
Algorithm,InputType,ArraySize,IsSorted,SortType,IndexAccessCount,CompareCount,SwapCount
BubbleSort,Random,100,TRUE,Exchange,4950,4950,2255
OddEvenSort,Random,100,TRUE,Exchange,4950,4950,2255
CocktailShakerSort,Random,100,TRUE,Exchange,3274,3274,2255
CocktailShakerSort2,Random,100,TRUE,Exchange,3725,3725,2255
CombSort,Random,100,TRUE,Exchange,1195,1195,240
CycleSort,Random,100,TRUE,Exchange,14372,14410,97
GnomeSort,Random,100,TRUE,Exchange,2355,2255,2255
GnomeSort1,Random,100,TRUE,Exchange,4604,4604,2255
GnomeSort2,Random,100,TRUE,Exchange,2256,2349,2255
GnomeSort3,Random,100,TRUE,Exchange,4610,4610,2255
SelectionSort,Random,100,TRUE,Selection,4950,4950,100
HeapSort,Random,100,TRUE,Selection,721,1061,629
InsertSort,Random,100,TRUE,Insertion,2255,2255,2255
BinaryInsertSort,Random,100,TRUE,Insertion,2983,530,2354
ShellSort,Random,100,TRUE,Insertion,473,282,473
BinaryTreeSort,Random,100,TRUE,Insertion,100,540,0
QuickSortMedian3,Random,100,TRUE,Partition,384,674,204
QuickSortMedian9,Random,100,TRUE,Partition,287,1175,219
QuickDualPivotSort,Random,100,TRUE,Partition,381,478,307
QuickSortMedian3Insert,Random,100,TRUE,Partition,283,262,128
QuickSortMedian9Insert,Random,100,TRUE,Partition,246,264,161
QuickDualPivotSortInsert,Random,100,TRUE,Partition,254,294,171
QuickSortMedian3BinaryInsert,Random,100,TRUE,Partition,401,338,142
QuickSortMedian9BinaryInsert,Random,100,TRUE,Partition,374,347,176
QuickDualPivotSortBinaryInsert,Random,100,TRUE,Partition,254,294,171
MergeSort,Random,100,TRUE,Merge,536,540,621
MergeSort2,Random,100,TRUE,Merge,771,543,672
ShiftSort,Random,100,TRUE,Merge,836,626,9
BucketSort,Random,100,TRUE,Distributed,200,100,0
RadixLSD10Sort,Random,100,TRUE,Distributed,420,200,0
RadixLSD4Sort,Random,100,TRUE,Distributed,2781,0,0
CountingSort,Random,100,TRUE,Distributed,399,0,0
IntroSortMedian9,Random,100,TRUE,Hybrid,199,235,127
BubbleSort,Random,1000,TRUE,Exchange,499500,499500,247850
OddEvenSort,Random,1000,TRUE,Exchange,479520,479520,247850
CocktailShakerSort,Random,1000,TRUE,Exchange,332246,332246,247850
CocktailShakerSort2,Random,1000,TRUE,Exchange,380672,380672,247850
CombSort,Random,1000,TRUE,Exchange,21704,21704,3913
CycleSort,Random,1000,TRUE,Exchange,1485853,1486328,996
GnomeSort,Random,1000,TRUE,Exchange,248850,247850,247850
GnomeSort1,Random,1000,TRUE,Exchange,496695,496695,247850
GnomeSort2,Random,1000,TRUE,Exchange,247857,248845,247850
GnomeSort3,Random,1000,TRUE,Exchange,496700,496700,247850
SelectionSort,Random,1000,TRUE,Selection,499500,499500,1000
HeapSort,Random,1000,TRUE,Selection,10583,17240,9595
InsertSort,Random,1000,TRUE,Insertion,247850,247850,247850
BinaryInsertSort,Random,1000,TRUE,Insertion,258453,8605,248849
ShellSort,Random,1000,TRUE,Insertion,9082,4821,9082
BinaryTreeSort,Random,1000,TRUE,Insertion,1000,11149,0
QuickSortMedian3,Random,1000,TRUE,Partition,6973,9962,2775
QuickSortMedian9,Random,1000,TRUE,Partition,5023,13981,2971
QuickDualPivotSort,Random,1000,TRUE,Partition,6118,8474,5064
QuickSortMedian3Insert,Random,1000,TRUE,Partition,5460,5642,1625
QuickSortMedian9Insert,Random,1000,TRUE,Partition,3822,4673,1676
QuickDualPivotSortInsert,Random,1000,TRUE,Partition,5045,6749,3621
QuickSortMedian3BinaryInsert,Random,1000,TRUE,Partition,5636,5773,1640
QuickSortMedian9BinaryInsert,Random,1000,TRUE,Partition,3964,4779,1688
QuickDualPivotSortBinaryInsert,Random,1000,TRUE,Partition,5045,6749,3621
MergeSort,Random,1000,TRUE,Merge,6687,8679,9323
MergeSort2,Random,1000,TRUE,Merge,10975,8697,9976
ShiftSort,Random,1000,TRUE,Merge,14851,10915,181
BucketSort,Random,1000,TRUE,Distributed,2000,1000,0
RadixLSD10Sort,Random,1000,TRUE,Distributed,6030,3000,0
RadixLSD4Sort,Random,1000,TRUE,Distributed,9789,0,0
CountingSort,Random,1000,TRUE,Distributed,3996,0,0
